Date (yyyymmddhhmm),CO2 (ppm)
197808042037,349.69
197808111935,332.55
197808111935,332.2
197808182135,334.13
197808182135,332.37
197808252035,333.47
197808252035,333.37
197809012045,333.5
197809012045,333.39
197809082200,331.14
197809082200,331.36
197809150000,331.76
197809150000,331.87
197809220000,331.71
197809220000,332.26
197809291935,332.94
197809291935,332.96
197810062253,331.93
197810062253,339.57
197810132235,331.49
197810132235,331.38
197810202235,333.75
197810202235,355.59
197810272235,332.5
197810272235,332.61
197811030000,333.52
197811030000,333.8
197811032230,332.92
197811032230,333.36
197811090220,333.62
197811090220,333.7
197811171935,333.28
197811171935,333.26
197811242055,333.81
197811242055,333.96
197812012035,333.89
197812012035,333.46
197812081940,333.82
197812081940,333.75
197812152035,333.84
197812152035,334.02
197812222345,335.15
197812222345,335.27
197812291935,335.24
197812291935,334.75
197901052000,338.39
197901121935,336.67
197901121935,336.99
197901192305,335.92
197901192305,336.23
197901242135,336.69
197901242135,336.8
197902022235,336.95
197902022235,336.38
197902091957,338.72
197902091957,342.76
197902161935,336.51
197902161935,336.91
197902212130,336.72
197902212130,338.08
197903022035,337.09
197903022035,337.48
197903092050,339.25
197903092050,344.54
197903162135,338.36
197903162135,338.89
197903232300,339.76
197903232300,339.24
197903301935,339.36
197903301935,339.61
197904062015,337.16
197904062015,336.89
197904131930,339.52
197904131930,338.79
197904202140,338.38
197904202140,338.6
197904272235,338.94
197904272235,338.41
197905041950,341.56
197905041950,342.57
197905112035,338.61
197905112035,338.17
197905182315,338.36
197905182315,338.36
197905252035,340.18
197905252035,340.14
197906012142,339.49
197906012142,339.28
197906081943,340.83
197906081943,341.22
197906152035,338.54
197906152035,338.66
197906221937,339.19
197906221937,339.55
197906292035,338.66
197906292035,338.59
197907062050,337.9
197907062050,338.02
197907131935,338.12
197907131935,338
197907202020,337
197907202020,336.96
197907272030,334.11
197907272030,334.04
197908031925,337.12
197908031925,338.8
197908102055,335.94
197908102055,335.86
197908171935,330.21
197908171935,330.47
197908242040,333.63
197908242040,333.73
197908312235,336.07
197908312235,335.55
197909071935,335.02
197909071935,334.87
197909071940,334.93
197909071940,335.26
197909142205,333.91
197909142205,333.63
197909212015,333.94
197909212015,341.32
197909282235,333.65
197909282235,333.36
197910052156,333.75
197910052156,333.65
197910122235,333.34
197910122235,333.34
197910192050,337.19
197910192050,340.6
197910262035,335.25
197910262035,335.48
197911022000,334.51
197911022000,340.44
197911091935,337
197911091935,336.61
197911162100,341.17
197911162100,344.28
197911232035,335.93
197911232035,336.15
197911301940,335.33
197911301940,335.18
197912072235,335.81
197912072235,336.34
197912072235,334.94
197912072235,335.01
197912142030,338.19
197912142030,336.55
197912212020,335.86
197912212020,336
197912281940,338.57
197912281940,338.4
198001042040,347.23
198001042040,352
198001112240,350.25
198001112240,349.94
198001182050,340.69
198001182050,340.98
198001252235,341.31
198001252235,341.49
198002011940,344.81
198002011940,353.45
198002082240,345.16
198002082240,345.02
198002152205,346.77
198002152205,345.94
198002292035,345.18
198002292035,345.12
198003072203,349
198003072203,349.35
198003132343,351.16
198003132343,342.37
198003142035,344.24
198003142035,345.37
198003142105,341.36
198003142107,340.89
198003212305,348.99
198003212305,353.07
198003282040,347.15
198003282040,347.15
198004030136,340.59
198004030139,340.54
198004030142,343.69
198004030144,340.71
198004030147,341.1
198004030150,340.62
198004041840,341.9
198004041841,343.69
198004041843,342.12
198004041843,344.12
198004041845,341.5
198004041845,343.61
198004041845,348.73
198004041847,351.39
198004041850,349.76
198004041850,352.35
198004111945,349.86
198004111945,352.67
198004182335,344.74
198004182335,345.61
198004251945,347.59
198004251945,350.22
198005021935,346.47
198005021935,345
198005092245,345.97
198005092245,344.63
198005162035,342.89
198005162035,343.52
198005231940,341.94
198005231940,342.07
198005301935,342.6
198005301935,342.55
198006032000,345.24
198006032138,362.03
198006032138,343.69
198006032143,343.09
198006032143,342.65
198006032150,346.51
198006032154,342.91
198006032201,342.99
